sido,sigungu,monthly_deaths,date
강원,강릉시,0,2020-01-01
강원,고성군,0,2020-01-01
강원,동해시,0,2020-01-01
강원,삼척시,0,2020-01-01
강원,속초시,0,2020-01-01
강원,양구군,0,2020-01-01
강원,양양군,0,2020-01-01
강원,영월군,0,2020-01-01
강원,원주시,0,2020-01-01
강원,인제군,0,2020-01-01
강원,정선군,0,2020-01-01
강원,철원군,0,2020-01-01
강원,춘천시,0,2020-01-01
강원,태백시,0,2020-01-01
강원,평창군,0,2020-01-01
강원,합계,0,2020-01-01
강원,홍천군,0,2020-01-01
강원,화천군,0,2020-01-01
강원,횡성군,0,2020-01-01
검역,합계,0,2020-01-01
경기,가평군,0,2020-01-01
경기,고양시 덕양구,0,2020-01-01
경기,고양시 일산동구,0,2020-01-01
경기,고양시 일산서구,0,2020-01-01
경기,과천시,0,2020-01-01
경기,광명시,0,2020-01-01
경기,광주시,0,2020-01-01
경기,구리시,0,2020-01-01
경기,군포시,0,2020-01-01
경기,김포시,0,2020-01-01
경기,남양주시,0,2020-01-01
경기,동두천시,0,2020-01-01
경기,부천시,0,2020-01-01
경기,성남시 분당구,0,2020-01-01
경기,성남시 수정구,0,2020-01-01
경기,성남시 중원구,0,2020-01-01
경기,수원시 권선구,0,2020-01-01
경기,수원시 영통구,0,2020-01-01
경기,수원시 장안구,0,2020-01-01
경기,수원시 팔달구,0,2020-01-01
경기,시흥시,0,2020-01-01
경기,안산시 단원구,0,2020-01-01
경기,안산시 상록구,0,2020-01-01
경기,안성시,0,2020-01-01
경기,안양시 동안구,0,2020-01-01
경기,안양시 만안구,0,2020-01-01
경기,양주시,0,2020-01-01
경기,양평군,0,2020-01-01
경기,여주시,0,2020-01-01
경기,연천군,0,2020-01-01
경기,오산시,0,2020-01-01
경기,용인시 기흥구,0,2020-01-01
경기,용인시 수지구,0,2020-01-01
경기,용인시 처인구,0,2020-01-01
경기,의왕시,0,2020-01-01
경기,의정부시,0,2020-01-01
경기,이천시,0,2020-01-01
경기,파주시,0,2020-01-01
경기,평택시,0,2020-01-01
경기,포천시,0,2020-01-01
경기,하남시,0,2020-01-01
경기,합계,0,2020-01-01
경기,화성시,0,2020-01-01
경남,거제시,0,2020-01-01
경남,거창군,0,2020-01-01
경남,고성군,0,2020-01-01
경남,김해시,0,2020-01-01
경남,남해군,0,2020-01-01
경남,밀양시,0,2020-01-01
경남,사천시,0,2020-01-01
경남,산청군,0,2020-01-01
경남,양산시,0,2020-01-01
경남,의령군,0,2020-01-01
경남,진주시,0,2020-01-01
경남,창녕군,0,2020-01-01
경남,창원시 마산합포구,0,2020-01-01
경남,창원시 마산회원구,0,2020-01-01
경남,창원시 성산구,0,2020-01-01
경남,창원시 의창구,0,2020-01-01
경남,창원시 진해구,0,2020-01-01
경남,통영시,0,2020-01-01
경남,하동군,0,2020-01-01
경남,함안군,0,2020-01-01
경남,함양군,0,2020-01-01
경남,합계,0,2020-01-01
경남,합천군,0,2020-01-01
경북,경산시,0,2020-01-01
경북,경주시,0,2020-01-01
경북,고령군,0,2020-01-01
경북,구미시,0,2020-01-01
경북,군위군,0,2020-01-01
경북,김천시,0,2020-01-01
경북,문경시,0,2020-01-01
경북,봉화군,0,2020-01-01
경북,상주시,0,2020-01-01
경북,성주군,0,2020-01-01
경북,안동시,0,2020-01-01
경북,영덕군,0,2020-01-01
경북,영양군,0,2020-01-01
경북,영주시,0,2020-01-01
경북,영천시,0,2020-01-01
경북,예천군,0,2020-01-01
경북,울릉군,0,2020-01-01
경북,울진군,0,2020-01-01
경북,의성군,0,2020-01-01
경북,청도군,0,2020-01-01
경북,청송군,0,2020-01-01
경북,칠곡군,0,2020-01-01
경북,포항시 남구,0,2020-01-01
경북,포항시 북구,0,2020-01-01
경북,합계,0,2020-01-01
광주,광산구,0,2020-01-01
광주,남구,0,2020-01-01
광주,동구,0,2020-01-01
광주,북구,0,2020-01-01
광주,서구,0,2020-01-01
광주,합계,0,2020-01-01
대구,군위군,0,2020-01-01
대구,남구,0,2020-01-01
대구,달서구,0,2020-01-01
대구,달성군,0,2020-01-01
대구,동구,0,2020-01-01
대구,북구,0,2020-01-01
대구,서구,0,2020-01-01
대구,수성구,0,2020-01-01
대구,중구,0,2020-01-01
대구,합계,0,2020-01-01
대전,대덕구,0,2020-01-01
대전,동구,0,2020-01-01
대전,서구,0,2020-01-01
대전,유성구,0,2020-01-01
대전,중구,0,2020-01-01
대전,합계,0,2020-01-01
부산,강서구,0,2020-01-01
부산,금정구,0,2020-01-01
부산,기장군,0,2020-01-01
부산,남구,0,2020-01-01
부산,동구,0,2020-01-01
부산,동래구,0,2020-01-01
부산,부산진구,0,2020-01-01
부산,북구,0,2020-01-01
부산,사상구,0,2020-01-01
부산,사하구,0,2020-01-01
부산,서구,0,2020-01-01
부산,수영구,0,2020-01-01
부산,연제구,0,2020-01-01
부산,영도구,0,2020-01-01
부산,중구,0,2020-01-01
부산,합계,0,2020-01-01
부산,해운대구,0,2020-01-01
서울,강남구,0,2020-01-01
서울,강동구,0,2020-01-01
서울,강북구,0,2020-01-01
서울,강서구,0,2020-01-01
서울,관악구,0,2020-01-01
서울,광진구,0,2020-01-01
서울,구로구,0,2020-01-01
서울,금천구,0,2020-01-01
서울,노원구,0,2020-01-01
서울,도봉구,0,2020-01-01
서울,동대문구,0,2020-01-01
서울,동작구,0,2020-01-01
서울,마포구,0,2020-01-01
서울,서대문구,0,2020-01-01
서울,서초구,0,2020-01-01
서울,성동구,0,2020-01-01
서울,성북구,0,2020-01-01
서울,송파구,0,2020-01-01
서울,양천구,0,2020-01-01
서울,영등포구,0,2020-01-01
서울,용산구,0,2020-01-01
서울,은평구,0,2020-01-01
서울,종로구,0,2020-01-01
서울,중구,0,2020-01-01
서울,중랑구,0,2020-01-01
서울,합계,0,2020-01-01
세종,세종,0,2020-01-01
세종,합계,0,2020-01-01
울산,남구,0,2020-01-01
울산,동구,0,2020-01-01
울산,북구,0,2020-01-01
울산,울주군,0,2020-01-01
울산,중구,0,2020-01-01
울산,합계,0,2020-01-01
인천,강화군,0,2020-01-01
인천,계양구,0,2020-01-01
인천,남동구,0,2020-01-01
인천,동구,0,2020-01-01
인천,미추홀구,0,2020-01-01
인천,부평구,0,2020-01-01
인천,서구,0,2020-01-01
인천,연수구,0,2020-01-01
인천,옹진군,0,2020-01-01
인천,중구,0,2020-01-01
인천,합계,0,2020-01-01
전남,강진군,0,2020-01-01
전남,고흥군,0,2020-01-01
전남,곡성군,0,2020-01-01
전남,광양시,0,2020-01-01
전남,구례군,0,2020-01-01
전남,나주시,0,2020-01-01
전남,담양군,0,2020-01-01
전남,목포시,0,2020-01-01
전남,무안군,0,2020-01-01
전남,보성군,0,2020-01-01
전남,순천시,0,2020-01-01
전남,신안군,0,2020-01-01
전남,여수시,0,2020-01-01
전남,영광군,0,2020-01-01
전남,영암군,0,2020-01-01
전남,완도군,0,2020-01-01
전남,장성군,0,2020-01-01
전남,장흥군,0,2020-01-01
전남,진도군,0,2020-01-01
전남,함평군,0,2020-01-01
전남,합계,0,2020-01-01
전남,해남군,0,2020-01-01
전남,화순군,0,2020-01-01
전북,고창군,0,2020-01-01
전북,군산시,0,2020-01-01
전북,김제시,0,2020-01-01
전북,남원시,0,2020-01-01
전북,무주군,0,2020-01-01
전북,부안군,0,2020-01-01
전북,순창군,0,2020-01-01
전북,완주군,0,2020-01-01
전북,익산시,0,2020-01-01
전북,임실군,0,2020-01-01
전북,장수군,0,2020-01-01
전북,전주시 덕진구,0,2020-01-01
전북,전주시 완산구,0,2020-01-01
전북,정읍시,0,2020-01-01
전북,진안군,0,2020-01-01
전북,합계,0,2020-01-01
제주,서귀포시,0,2020-01-01
제주,제주시,0,2020-01-01
제주,합계,0,2020-01-01
충남,계룡시,0,2020-01-01
충남,공주시,0,2020-01-01
충남,금산군,0,2020-01-01
충남,논산시,0,2020-01-01
충남,당진시,0,2020-01-01
충남,보령시,0,2020-01-01
충남,부여군,0,2020-01-01
충남,서산시,0,2020-01-01
충남,서천군,0,2020-01-01
충남,아산시,0,2020-01-01
충남,예산군,0,2020-01-01
충남,천안시 동남구,0,2020-01-01
충남,천안시 서북구,0,2020-01-01
충남,청양군,0,2020-01-01
충남,태안군,0,2020-01-01
충남,합계,0,2020-01-01
충남,홍성군,0,2020-01-01
충북,괴산군,0,2020-01-01
충북,단양군,0,2020-01-01
충북,보은군,0,2020-01-01
충북,영동군,0,2020-01-01
충북,옥천군,0,2020-01-01
충북,음성군,0,2020-01-01
충북,제천시,0,2020-01-01
충북,증평군,0,2020-01-01
충북,진천군,0,2020-01-01
충북,청주시 상당구,0,2020-01-01
충북,청주시 서원구,0,2020-01-01
충북,청주시 청원구,0,2020-01-01
충북,청주시 흥덕구,0,2020-01-01
충북,충주시,0,2020-01-01
충북,합계,0,2020-01-01
강원,강릉시,0,2020-02-01
강원,고성군,0,2020-02-01
강원,동해시,0,2020-02-01
강원,삼척시,0,2020-02-01
강원,속초시,0,2020-02-01
강원,양구군,0,2020-02-01
강원,양양군,0,2020-02-01
강원,영월군,0,2020-02-01
강원,원주시,0,2020-02-01
강원,인제군,0,2020-02-01
강원,정선군,0,2020-02-01
강원,철원군,0,2020-02-01
강원,춘천시,0,2020-02-01
강원,태백시,0,2020-02-01
강원,평창군,0,2020-02-01
강원,합계,0,2020-02-01
강원,홍천군,0,2020-02-01
강원,화천군,0,2020-02-01
강원,횡성군,0,2020-02-01
검역,합계,0,2020-02-01
경기,가평군,0,2020-02-01
경기,고양시 덕양구,1,2020-02-01
경기,고양시 일산동구,0,2020-02-01
경기,고양시 일산서구,0,2020-02-01
경기,과천시,0,2020-02-01
경기,광명시,0,2020-02-01
경기,광주시,0,2020-02-01
경기,구리시,0,2020-02-01
경기,군포시,0,2020-02-01
경기,김포시,0,2020-02-01
경기,남양주시,0,2020-02-01
경기,동두천시,0,2020-02-01
경기,부천시,0,2020-02-01
경기,성남시 분당구,0,2020-02-01
경기,성남시 수정구,0,2020-02-01
경기,성남시 중원구,0,2020-02-01
경기,수원시 권선구,0,2020-02-01
경기,수원시 영통구,0,2020-02-01
경기,수원시 장안구,0,2020-02-01
경기,수원시 팔달구,0,2020-02-01
경기,시흥시,0,2020-02-01
경기,안산시 단원구,0,2020-02-01
경기,안산시 상록구,0,2020-02-01
경기,안성시,0,2020-02-01
경기,안양시 동안구,0,2020-02-01
경기,안양시 만안구,0,2020-02-01
경기,양주시,0,2020-02-01
경기,양평군,0,2020-02-01
경기,여주시,0,2020-02-01
경기,연천군,0,2020-02-01
경기,오산시,0,2020-02-01
경기,용인시 기흥구,0,2020-02-01
경기,용인시 수지구,0,2020-02-01
경기,용인시 처인구,0,2020-02-01
경기,의왕시,0,2020-02-01
경기,의정부시,0,2020-02-01
경기,이천시,0,2020-02-01
경기,파주시,0,2020-02-01
경기,평택시,0,2020-02-01
경기,포천시,0,2020-02-01
경기,하남시,0,2020-02-01
경기,합계,1,2020-02-01
